"Manufacturer","Price","ProductId","ProductName","ProductUrl","RatingSourceValue","RatingType","ReviewCount","ReviewLink","Stock"
"Galderma","94.9","30786","LOÇÃO HIDRATANTE CETAPHIL ADVANCED MOISTURIZER PELE SECA E SENSÍVEL COM 226G","https://www.drogaraia.com.br/cetaphil-advanced-moistuzier-locao-hidratante-226ml.html","4.9","5-Star","10","https://www.drogaraia.com.br/cetaphil-advanced-moistuzier-locao-hidratante-226ml.html#trustvox-reviews","InStock"
"Galderma","74.15","40610","CETAPHIL HIDRATANTE CORPORAL PELE SECA 453G","https://www.drogaraia.com.br/cetaphil-creme-hidratante-para-o-corpo-especifico-para-areas-extremamente-secas-com-453-gramas.html","4.9","5-Star","499","https://www.drogaraia.com.br/cetaphil-creme-hidratante-para-o-corpo-especifico-para-areas-extremamente-secas-com-453-gramas.html#trustvox-reviews","InStock"
"Galderma","49.9","171484","CREME HIDRATANTE RESTAURADOR PARA OS PÉS CETAPHIL PRO UREIA 10% COM 60G","https://www.drogaraia.com.br/cetaphil-creme-hidratante-pro-ureia-10-60g.html",,,,,"InStock"
"Galderma","164.9","110471","CREME HIDRATANTE FACIAL CETAPHIL NOTURNO COM 48G","https://www.drogaraia.com.br/cetaphil-creme-facial-noturno-48g.html","5","5-Star","1","https://www.drogaraia.com.br/cetaphil-creme-facial-noturno-48g.html#trustvox-reviews","InStock"
"Galderma","139.9","65429","LOÇÃO HIDRATANTE CETAPHIL ADVANCED MOISTURIZE 473ML","https://www.drogaraia.com.br/cetaphil-advanced-moisturizer-pump-creme-hidratante-p-pele-seca-e-sensivel-p-o-corpo-e-rosto-473g.html","4.8","5-Star","53","https://www.drogaraia.com.br/cetaphil-advanced-moisturizer-pump-creme-hidratante-p-pele-seca-e-sensivel-p-o-corpo-e-rosto-473g.html#trustvox-reviews","InStock"
"Galderma","64.9","117911","CREME PROTETOR PARA MÃOS CETAPHIL HEALTHY HYGIENE COM 50ML","https://www.drogaraia.com.br/cetaphil-creme-para-as-maos-healthy-hyginie-1-unidade.html","4","5-Star","1","https://www.drogaraia.com.br/cetaphil-creme-para-as-maos-healthy-hyginie-1-unidade.html#trustvox-reviews","InStock"
"Galderma","89.9","424458","GEL CREME CALMANTE CETAPHIL RÁPIDA ABSORÇÃO 226G","https://www.drogaraia.com.br/cetaphil-gel-creme-rapida-absorcao-226g.html",,,,,"InStock"
"Galderma","69.9","117600","SABONETE LÍQUIDO ANTISSÉPTICO CETAPHIL HEALTHY HYGIENE COM 237ML","https://www.drogaraia.com.br/cetaphil-healthy-hyginie-sabonete-liquido-antisseptico-300ml.html",,,,,"InStock"
"Galderma","269.9","621450","CREME FACIAL REPARADOR NOTURNO CETAPHIL HEALTHY RENEW 50ML","https://www.drogaraia.com.br/cetaphil-creme-noturno-facial-healthy-renew-50ml.html",,,,,"InStock"
"Galderma","75.9","48320","CREME HIDRATANTE CETAPHIL PARA PELE EXTREMAMENTE SECA E SENSÍVEL COM 250G","https://www.drogaraia.com.br/cetaphil-creme-hidratante-para-areas-extremamente-secas-como-cotovelos-joelhos-e-pes-com-250-g.html","5","5-Star","32","https://www.drogaraia.com.br/cetaphil-creme-hidratante-para-areas-extremamente-secas-como-cotovelos-joelhos-e-pes-com-250-g.html#trustvox-reviews","InStock"
